,support,itemsets
65,0.25,"frozenset({'NoPromo', 'Male'})"
66,0.41,"frozenset({'Male', 'NoSubscr'})"
67,0.2082051282051282,"frozenset({'PayPal', 'Male'})"
68,0.2053846153846154,"frozenset({'Male', 'Venmo'})"
69,0.43,"frozenset({'YesDisco', 'Male'})"
70,0.43,"frozenset({'YesPromo', 'Male'})"
71,0.27,"frozenset({'YesSubscr', 'Male'})"
72,0.57,"frozenset({'NoPromo', 'NoDisco'})"
73,0.57,"frozenset({'NoDisco', 'NoSubscr'})"
74,0.57,"frozenset({'NoPromo', 'NoSubscr'})"
75,0.23076923076923078,"frozenset({'PayPal', 'NoSubscr'})"
76,0.22256410256410256,"frozenset({'Venmo', 'NoSubscr'})"
77,0.43,"frozenset({'YesDisco', 'YesPromo'})"
78,0.27,"frozenset({'YesDisco', 'YesSubscr'})"
79,0.27,"frozenset({'YesPromo', 'YesSubscr'})"
80,0.20923076923076922,"frozenset({'20-39', 'NoPromo', 'NoDisco'})"
81,0.20923076923076922,"frozenset({'20-39', 'NoDisco', 'NoSubscr'})"
82,0.20923076923076922,"frozenset({'20-39', 'NoPromo', 'NoSubscr'})"
83,0.23384615384615384,"frozenset({'3-4', 'NoPromo', 'NoDisco'})"
84,0.23384615384615384,"frozenset({'3-4', 'NoDisco', 'NoSubscr'})"
85,0.23384615384615384,"frozenset({'3-4', 'NoPromo', 'NoSubscr'})"
86,0.21487179487179486,"frozenset({'NoPromo', 'NoDisco', '4+'})"
87,0.21487179487179486,"frozenset({'NoDisco', '4+', 'NoSubscr'})"
88,0.21487179487179486,"frozenset({'NoPromo', 'NoSubscr', '4+'})"
89,0.2246153846153846,"frozenset({'NoPromo', 'NoDisco', '40-59'})"
90,0.2246153846153846,"frozenset({'NoDisco', '40-59', 'NoSubscr'})"
91,0.2246153846153846,"frozenset({'NoPromo', 'NoSubscr', '40-59'})"
92,0.25794871794871793,"frozenset({'NoPromo', 'NoDisco', 'Clothing'})"
93,0.25794871794871793,"frozenset({'NoDisco', 'Clothing', 'NoSubscr'})"
94,0.25794871794871793,"frozenset({'NoPromo', 'NoSubscr', 'Clothing'})"
95,0.32,"frozenset({'NoPromo', 'NoDisco', 'Female'})"
96,0.32,"frozenset({'Female', 'NoDisco', 'NoSubscr'})"
97,0.32,"frozenset({'NoPromo', 'NoSubscr', 'Female'})"
98,0.25974358974358974,"frozenset({'M', 'NoPromo', 'NoDisco'})"
99,0.25974358974358974,"frozenset({'M', 'NoDisco', 'NoSubscr'})"
100,0.25974358974358974,"frozenset({'M', 'NoPromo', 'NoSubscr'})"
101,0.25,"frozenset({'NoPromo', 'Male', 'NoDisco'})"
102,0.25,"frozenset({'Male', 'NoDisco', 'NoSubscr'})"
103,0.25,"frozenset({'NoPromo', 'Male', 'NoSubscr'})"
104,0.43,"frozenset({'YesDisco', 'Male', 'YesPromo'})"
105,0.27,"frozenset({'YesDisco', 'YesSubscr', 'Male'})"
106,0.27,"frozenset({'YesPromo', 'YesSubscr', 'Male'})"
107,0.57,"frozenset({'NoPromo', 'NoDisco', 'NoSubscr'})"
108,0.27,"frozenset({'YesDisco', 'YesSubscr', 'YesPromo'})"
109,0.20923076923076922,"frozenset({'20-39', 'NoPromo', 'NoSubscr', 'NoDisco'})"
110,0.23384615384615384,"frozenset({'3-4', 'NoPromo', 'NoDisco', 'NoSubscr'})"
111,0.21487179487179486,"frozenset({'NoPromo', 'NoDisco', '4+', 'NoSubscr'})"
112,0.2246153846153846,"frozenset({'NoPromo', 'NoDisco', '40-59', 'NoSubscr'})"
113,0.25794871794871793,"frozenset({'NoPromo', 'NoDisco', 'Clothing', 'NoSubscr'})"
114,0.32,"frozenset({'NoPromo', 'NoDisco', 'Female', 'NoSubscr'})"
115,0.25974358974358974,"frozenset({'M', 'NoPromo', 'NoDisco', 'NoSubscr'})"
116,0.25,"frozenset({'NoPromo', 'Male', 'NoDisco', 'NoSubscr'})"
117,0.27,"frozenset({'YesDisco', 'YesSubscr', 'Male', 'YesPromo'})"
