,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
216,"frozenset({'NoSubscr', 'Male'})",frozenset({'NoDisco'}),0.4088669950738916,0.5591133004926109,0.24630541871921183,0.6024096385542169,1.0774375033172336,1.0,0.01770244364095222,1.1088968502761607,0.12158333333333335,0.3412969283276451,0.09820286733526287,0.5214691364577252
217,frozenset({'NoDisco'}),"frozenset({'NoSubscr', 'Male'})",0.5591133004926109,0.4088669950738916,0.24630541871921183,0.44052863436123346,1.0774375033172336,1.0,0.01770244364095222,1.056592063923044,0.16301675977653635,0.3412969283276451,0.05356093979441994,0.5214691364577252
218,frozenset({'Male'}),"frozenset({'NoDisco', 'NoSubscr'})",0.687192118226601,0.5591133004926109,0.24630541871921183,0.35842293906810035,0.641056005557924,1.0,-0.13791283457497153,0.687192118226601,-0.6415770609318998,0.24630541871921185,-0.4551971326164876,0.3994757867146669
219,"frozenset({'NoSubscr', 'Male'})",frozenset({'NoPromo'}),0.4088669950738916,0.5591133004926109,0.24630541871921183,0.6024096385542169,1.0774375033172336,1.0,0.01770244364095222,1.1088968502761607,0.12158333333333335,0.3412969283276451,0.09820286733526287,0.5214691364577252
220,"frozenset({'NoSubscr', 'NoPromo'})",frozenset({'Male'}),0.5591133004926109,0.687192118226601,0.24630541871921183,0.44052863436123346,0.641056005557924,1.0,-0.13791283457497153,0.5591133004926109,-0.5594713656387668,0.24630541871921185,-0.788546255506608,0.3994757867146669
221,"frozenset({'Male', 'NoPromo'})",frozenset({'NoSubscr'}),0.24630541871921183,0.7216748768472906,0.24630541871921183,1.0,1.385665529010239,1.0,0.06855298599820428,inf,0.36928104575163406,0.3412969283276451,1.0,0.6706484641638225
222,frozenset({'Male'}),"frozenset({'NoSubscr', 'NoPromo'})",0.687192118226601,0.5591133004926109,0.24630541871921183,0.35842293906810035,0.641056005557924,1.0,-0.13791283457497153,0.687192118226601,-0.6415770609318998,0.24630541871921185,-0.4551971326164876,0.3994757867146669
223,frozenset({'NoPromo'}),"frozenset({'NoSubscr', 'Male'})",0.5591133004926109,0.4088669950738916,0.24630541871921183,0.44052863436123346,1.0774375033172336,1.0,0.01770244364095222,1.056592063923044,0.16301675977653635,0.3412969283276451,0.05356093979441994,0.5214691364577252
224,"frozenset({'YesDisco', 'YesPromo'})",frozenset({'Male'}),0.4408866995073892,0.687192118226601,0.4408866995073892,1.0,1.4551971326164874,1.0,0.1379128345749715,inf,0.5594713656387666,0.6415770609318997,1.0,0.8207885304659499
225,"frozenset({'Male', 'YesPromo'})",frozenset({'YesDisco'}),0.4408866995073892,0.4408866995073892,0.4408866995073892,1.0,2.2681564245810053,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
226,"frozenset({'YesDisco', 'Male'})",frozenset({'YesPromo'}),0.4408866995073892,0.4408866995073892,0.4408866995073892,1.0,2.2681564245810053,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
227,frozenset({'YesPromo'}),"frozenset({'YesDisco', 'Male'})",0.4408866995073892,0.4408866995073892,0.4408866995073892,1.0,2.2681564245810053,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
228,frozenset({'YesDisco'}),"frozenset({'Male', 'YesPromo'})",0.4408866995073892,0.4408866995073892,0.4408866995073892,1.0,2.2681564245810053,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
229,frozenset({'Male'}),"frozenset({'YesDisco', 'YesPromo'})",0.687192118226601,0.4408866995073892,0.4408866995073892,0.6415770609318997,1.4551971326164876,1.0,0.1379128345749715,1.5599261083743843,1.0,0.6415770609318997,0.35894399444207614,0.8207885304659499
230,"frozenset({'YesDisco', 'Male'})",frozenset({'YesSubscr'}),0.4408866995073892,0.27832512315270935,0.27832512315270935,0.6312849162011173,2.2681564245810053,1.0,0.1556152782159237,1.9572697417525002,1.0,0.6312849162011173,0.48908421835376653,0.8156424581005586
231,"frozenset({'YesDisco', 'YesSubscr'})",frozenset({'Male'}),0.27832512315270935,0.687192118226601,0.27832512315270935,1.0,1.4551971326164874,1.0,0.08706229221771944,inf,0.4334470989761093,0.4050179211469534,1.0,0.7025089605734767
232,"frozenset({'Male', 'YesSubscr'})",frozenset({'YesDisco'}),0.27832512315270935,0.4408866995073892,0.27832512315270935,1.0,2.2681564245810053,1.0,0.1556152782159237,inf,0.7747440273037541,0.6312849162011173,1.0,0.8156424581005586
233,frozenset({'YesDisco'}),"frozenset({'Male', 'YesSubscr'})",0.4408866995073892,0.27832512315270935,0.27832512315270935,0.6312849162011173,2.2681564245810053,1.0,0.1556152782159237,1.9572697417525002,1.0,0.6312849162011173,0.48908421835376653,0.8156424581005586
234,frozenset({'Male'}),"frozenset({'YesDisco', 'YesSubscr'})",0.687192118226601,0.27832512315270935,0.27832512315270935,0.4050179211469534,1.4551971326164874,1.0,0.08706229221771944,1.2129354857855066,1.0000000000000002,0.4050179211469534,0.17555384295448148,0.7025089605734767
235,frozenset({'YesSubscr'}),"frozenset({'YesDisco', 'Male'})",0.27832512315270935,0.4408866995073892,0.27832512315270935,1.0,2.2681564245810053,1.0,0.1556152782159237,inf,0.7747440273037541,0.6312849162011173,1.0,0.8156424581005586
236,"frozenset({'Male', 'YesPromo'})",frozenset({'YesSubscr'}),0.4408866995073892,0.27832512315270935,0.27832512315270935,0.6312849162011173,2.2681564245810053,1.0,0.1556152782159237,1.9572697417525002,1.0,0.6312849162011173,0.48908421835376653,0.8156424581005586
237,"frozenset({'YesPromo', 'YesSubscr'})",frozenset({'Male'}),0.27832512315270935,0.687192118226601,0.27832512315270935,1.0,1.4551971326164874,1.0,0.08706229221771944,inf,0.4334470989761093,0.4050179211469534,1.0,0.7025089605734767
238,"frozenset({'Male', 'YesSubscr'})",frozenset({'YesPromo'}),0.27832512315270935,0.4408866995073892,0.27832512315270935,1.0,2.2681564245810053,1.0,0.1556152782159237,inf,0.7747440273037541,0.6312849162011173,1.0,0.8156424581005586
239,frozenset({'YesPromo'}),"frozenset({'Male', 'YesSubscr'})",0.4408866995073892,0.27832512315270935,0.27832512315270935,0.6312849162011173,2.2681564245810053,1.0,0.1556152782159237,1.9572697417525002,1.0,0.6312849162011173,0.48908421835376653,0.8156424581005586
240,frozenset({'Male'}),"frozenset({'YesPromo', 'YesSubscr'})",0.687192118226601,0.27832512315270935,0.27832512315270935,0.4050179211469534,1.4551971326164874,1.0,0.08706229221771944,1.2129354857855066,1.0000000000000002,0.4050179211469534,0.17555384295448148,0.7025089605734767
241,frozenset({'YesSubscr'}),"frozenset({'Male', 'YesPromo'})",0.27832512315270935,0.4408866995073892,0.27832512315270935,1.0,2.2681564245810053,1.0,0.1556152782159237,inf,0.7747440273037541,0.6312849162011173,1.0,0.8156424581005586
242,"frozenset({'NoDisco', 'NoSubscr'})",frozenset({'NoPromo'}),0.5591133004926109,0.5591133004926109,0.5591133004926109,1.0,1.7885462555066078,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
243,"frozenset({'NoDisco', 'NoPromo'})",frozenset({'NoSubscr'}),0.5591133004926109,0.7216748768472906,0.5591133004926109,1.0,1.385665529010239,1.0,0.15561527821592375,inf,0.6312849162011175,0.7747440273037544,1.0,0.8873720136518772
244,"frozenset({'NoSubscr', 'NoPromo'})",frozenset({'NoDisco'}),0.5591133004926109,0.5591133004926109,0.5591133004926109,1.0,1.7885462555066078,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
245,frozenset({'NoDisco'}),"frozenset({'NoSubscr', 'NoPromo'})",0.5591133004926109,0.5591133004926109,0.5591133004926109,1.0,1.7885462555066078,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
246,frozenset({'NoSubscr'}),"frozenset({'NoDisco', 'NoPromo'})",0.7216748768472906,0.5591133004926109,0.5591133004926109,0.7747440273037544,1.3856655290102389,1.0,0.15561527821592375,1.957269741752501,1.0,0.7747440273037544,0.4890842183537668,0.8873720136518772
247,frozenset({'NoPromo'}),"frozenset({'NoDisco', 'NoSubscr'})",0.5591133004926109,0.5591133004926109,0.5591133004926109,1.0,1.7885462555066078,1.0,0.24650561770487028,inf,1.0,1.0,1.0,1.0
248,"frozenset({'YesDisco', 'YesPromo'})",frozenset({'YesSubscr'}),0.4408866995073892,0.27832512315270935,0.27832512315270935,0.6312849162011173,2.2681564245810053,1.0,0.1556152782159237,1.9572697417525002,1.0,0.6312849162011173,0.48908421835376653,0.8156424581005586
249,"frozenset({'YesDisco', 'YesSubscr'})",frozenset({'YesPromo'}),0.27832512315270935,0.4408866995073892,0.27832512315270935,1.0,2.2681564245810053,1.0,0.1556152782159237,inf,0.7747440273037541,0.6312849162011173,1.0,0.8156424581005586
